parameter	test_case	value	test_result	testcase_time
en.core.add_comment	should properly pluralize with small follower count	Add comment	p	unknown
en.core.add_comment	should update the navigation button text and follow status when you follow/unfollow users	Add comment	p	unknown
en.core.add_comment	should have a functioning de/select all toggle	Add comment	p	unknown
en.core.add_comment	should render a stepper	Add comment	p	unknown
en.core.add_comment	should be able to continue to the next step	Add comment	p	unknown
en.core.add_comment	should render a back button	Add comment	p	unknown
en.core.and	should have no a11y violations when rendering users	and	p	unknown
en.core.and	should render the correct users	and	p	unknown
en.core.and	should follow all suggested users by default	and	p	unknown
en.core.and	should properly pluralize with small follower count	and	p	unknown
en.core.and	should update the navigation button text and follow status when you follow/unfollow users	and	p	unknown
en.core.and	should have a functioning de/select all toggle	and	p	unknown
en.core.and	should render a stepper	and	p	unknown
en.core.and	should be able to continue to the next step	and	p	unknown
en.core.and	should render a back button	and	p	unknown
en.core.beta	should have no a11y violations when rendering users	beta	p	unknown
en.core.beta	should render the correct users	beta	p	unknown
en.core.beta	should follow all suggested users by default	beta	p	unknown
en.core.beta	should properly pluralize with small follower count	beta	p	unknown
en.core.beta	should update the navigation button text and follow status when you follow/unfollow users	beta	p	unknown
en.core.beta	should have a functioning de/select all toggle	beta	p	unknown
en.core.beta	should render a stepper	beta	p	unknown
en.core.beta	should be able to continue to the next step	beta	p	unknown
en.core.beta	should render a back button	beta	p	unknown
en.core.comment	should have no a11y violations when rendering users	Comment	p	unknown
en.core.comment	should render the correct users	Comment	p	unknown
en.core.comment	should follow all suggested users by default	Comment	p	unknown
en.core.comment	should properly pluralize with small follower count	Comment	p	unknown
en.core.comment	should update the navigation button text and follow status when you follow/unfollow users	Comment	p	unknown
en.core.comment	should have a functioning de/select all toggle	Comment	p	unknown
en.core.comment	should render a stepper	Comment	p	unknown
en.core.comment	should be able to continue to the next step	Comment	p	unknown
en.core.comment	should render a back button	Comment	p	unknown
en.core.copy_link	should have no a11y violations when rendering users	Copy link	p	unknown
en.core.copy_link	should render the correct users	Copy link	p	unknown
en.core.copy_link	should follow all suggested users by default	Copy link	p	unknown
en.core.copy_link	should properly pluralize with small follower count	Copy link	p	unknown
en.core.copy_link	should update the navigation button text and follow status when you follow/unfollow users	Copy link	p	unknown
en.core.copy_link	should have a functioning de/select all toggle	Copy link	p	unknown
en.core.copy_link	should render a stepper	Copy link	p	unknown
en.core.copy_link	should be able to continue to the next step	Copy link	p	unknown
en.core.copy_link	should render a back button	Copy link	p	unknown
en.core.counted_organization.one	should have no a11y violations when rendering users	%{count} organization	p	unknown
en.core.counted_organization.one	should render the correct users	%{count} organization	p	unknown
en.core.counted_organization.one	should follow all suggested users by default	%{count} organization	p	unknown
en.core.counted_organization.one	should properly pluralize with small follower count	%{count} organization	p	unknown
en.core.counted_organization.one	should update the navigation button text and follow status when you follow/unfollow users	%{count} organization	p	unknown
en.core.counted_organization.one	should have a functioning de/select all toggle	%{count} organization	p	unknown
en.core.counted_organization.one	should render a stepper	%{count} organization	p	unknown
en.core.counted_organization.one	should be able to continue to the next step	%{count} organization	p	unknown
en.core.counted_organization.one	should render a back button	%{count} organization	p	unknown
en.core.counted_organization.other	should have no a11y violations when rendering users	%{count} organizations	p	unknown
en.core.counted_organization.other	should render the correct users	%{count} organizations	p	unknown
en.core.counted_organization.other	should follow all suggested users by default	%{count} organizations	p	unknown
en.core.counted_organization.other	should properly pluralize with small follower count	%{count} organizations	p	unknown
en.core.counted_organization.other	should update the navigation button text and follow status when you follow/unfollow users	%{count} organizations	p	unknown
en.core.counted_organization.other	should have a functioning de/select all toggle	%{count} organizations	p	unknown
en.core.counted_organization.other	should render a stepper	%{count} organizations	p	unknown
en.core.counted_organization.other	should be able to continue to the next step	%{count} organizations	p	unknown
en.core.counted_organization.other	should render a back button	%{count} organizations	p	unknown
en.core.counted_user.one	should have no a11y violations when rendering users	%{count} person	p	unknown
en.core.counted_user.one	should render the correct users	%{count} person	p	unknown
en.core.counted_user.one	should follow all suggested users by default	%{count} person	p	unknown
en.core.counted_user.one	should properly pluralize with small follower count	%{count} person	p	unknown
en.core.counted_user.one	should update the navigation button text and follow status when you follow/unfollow users	%{count} person	p	unknown
en.core.counted_user.one	should have a functioning de/select all toggle	%{count} person	p	unknown
en.core.counted_user.one	should render a stepper	%{count} person	p	unknown
en.core.counted_user.one	should be able to continue to the next step	%{count} person	p	unknown
en.core.counted_user.one	should render a back button	%{count} person	p	unknown
en.core.counted_user.other	should have no a11y violations when rendering users	%{count} people	p	unknown
en.core.counted_user.other	should render the correct users	%{count} people	p	unknown
en.core.counted_user.other	should follow all suggested users by default	%{count} people	p	unknown
en.core.counted_user.other	should properly pluralize with small follower count	%{count} people	p	unknown
en.core.counted_user.other	should update the navigation button text and follow status when you follow/unfollow users	%{count} people	p	unknown
en.core.counted_user.other	should have a functioning de/select all toggle	%{count} people	p	unknown
en.core.counted_user.other	should render a stepper	%{count} people	p	unknown
en.core.counted_user.other	should be able to continue to the next step	%{count} people	p	unknown
en.core.counted_user.other	should render a back button	%{count} people	p	unknown
en.core.edit_profile	should have no a11y violations when rendering users	Edit profile	p	unknown
en.core.edit_profile	should render the correct users	Edit profile	p	unknown
en.core.edit_profile	should follow all suggested users by default	Edit profile	p	unknown
en.core.edit_profile	should properly pluralize with small follower count	Edit profile	p	unknown
en.core.edit_profile	should update the navigation button text and follow status when you follow/unfollow users	Edit profile	p	unknown
en.core.edit_profile	should have a functioning de/select all toggle	Edit profile	p	unknown
en.core.edit_profile	should render a stepper	Edit profile	p	unknown
en.core.edit_profile	should be able to continue to the next step	Edit profile	p	unknown
en.core.edit_profile	should render a back button	Edit profile	p	unknown
en.core.follow	should have no a11y violations when rendering users	Follow	p	unknown
en.core.follow	should render the correct users	Follow	p	unknown
en.core.follow	should follow all suggested users by default	Follow	p	unknown
en.core.follow	should properly pluralize with small follower count	Follow	p	unknown
en.core.follow	should update the navigation button text and follow status when you follow/unfollow users	Follow	p	unknown
en.core.follow	should have a functioning de/select all toggle	Follow	p	unknown
en.core.follow	should render a stepper	Follow	p	unknown
en.core.follow	should be able to continue to the next step	Follow	p	unknown
en.core.follow	should render a back button	Follow	p	unknown
en.core.follow_back	should have no a11y violations when rendering users	Follow back	p	unknown
en.core.follow_back	should render the correct users	Follow back	p	unknown
en.core.follow_back	should follow all suggested users by default	Follow back	p	unknown
en.core.follow_back	should properly pluralize with small follower count	Follow back	p	unknown
en.core.follow_back	should update the navigation button text and follow status when you follow/unfollow users	Follow back	p	unknown
en.core.follow_back	should have a functioning de/select all toggle	Follow back	p	unknown
en.core.follow_back	should render a stepper	Follow back	p	unknown
en.core.follow_back	should be able to continue to the next step	Follow back	p	unknown
en.core.follow_back	should render a back button	Follow back	p	unknown
en.core.following	should have no a11y violations when rendering users	Following	p	unknown
en.core.following	should render the correct users	Following	p	unknown
en.core.following	should follow all suggested users by default	Following	p	unknown
en.core.following	should properly pluralize with small follower count	Following	p	unknown
en.core.following	should update the navigation button text and follow status when you follow/unfollow users	Following	p	unknown
en.core.following	should have a functioning de/select all toggle	Following	p	unknown
en.core.following	should render a stepper	Following	p	unknown
en.core.following	should be able to continue to the next step	Following	p	unknown
en.core.following	should render a back button	Following	p	unknown
en.core.following_everyone	should have no a11y violations when rendering users	You're following %{details} (everyone)	p	unknown
en.core.following_everyone	should render the correct users	You're following %{details} (everyone)	p	unknown
en.core.following_everyone	should follow all suggested users by default	You're following %{details} (everyone)	p	unknown
en.core.following_everyone	should properly pluralize with small follower count	You're following %{details} (everyone)	p	unknown
en.core.following_everyone	should update the navigation button text and follow status when you follow/unfollow users	You're following %{details} (everyone)	p	unknown
en.core.following_everyone	should have a functioning de/select all toggle	You're following %{details} (everyone)	p	unknown
en.core.following_everyone	should render a stepper	You're following %{details} (everyone)	p	unknown
en.core.following_everyone	should be able to continue to the next step	You're following %{details} (everyone)	p	unknown
en.core.following_everyone	should render a back button	You're following %{details} (everyone)	p	unknown
en.core.like	should have no a11y violations when rendering users	Like	p	unknown
en.core.like	should render the correct users	Like	p	unknown
en.core.like	should follow all suggested users by default	Like	p	unknown
en.core.like	should properly pluralize with small follower count	Like	p	unknown
en.core.like	should update the navigation button text and follow status when you follow/unfollow users	Like	p	unknown
en.core.like	should have a functioning de/select all toggle	Like	p	unknown
en.core.like	should render a stepper	Like	p	unknown
en.core.like	should be able to continue to the next step	Like	p	unknown
en.core.like	should render a back button	Like	p	unknown
en.core.loading	should have no a11y violations when rendering users	loading...	p	unknown
en.core.loading	should render the correct users	loading...	p	unknown
en.core.loading	should follow all suggested users by default	loading...	p	unknown
en.core.loading	should properly pluralize with small follower count	loading...	p	unknown
en.core.loading	should update the navigation button text and follow status when you follow/unfollow users	loading...	p	unknown
en.core.loading	should have a functioning de/select all toggle	loading...	p	unknown
en.core.loading	should render a stepper	loading...	p	unknown
en.core.loading	should be able to continue to the next step	loading...	p	unknown
en.core.loading	should render a back button	loading...	p	unknown
en.core.not_following	should have no a11y violations when rendering users	You're not following anyone	p	unknown
en.core.not_following	should render the correct users	You're not following anyone	p	unknown
en.core.not_following	should follow all suggested users by default	You're not following anyone	p	unknown
en.core.not_following	should properly pluralize with small follower count	You're not following anyone	p	unknown
en.core.not_following	should update the navigation button text and follow status when you follow/unfollow users	You're not following anyone	p	unknown
en.core.not_following	should have a functioning de/select all toggle	You're not following anyone	p	unknown
en.core.not_following	should render a stepper	You're not following anyone	p	unknown
en.core.not_following	should be able to continue to the next step	You're not following anyone	p	unknown
en.core.not_following	should render a back button	You're not following anyone	p	unknown
en.core.reaction	should have no a11y violations when rendering users	Reaction	p	unknown
en.core.reaction	should render the correct users	Reaction	p	unknown
en.core.reaction	should follow all suggested users by default	Reaction	p	unknown
en.core.reaction	should properly pluralize with small follower count	Reaction	p	unknown
en.core.reaction	should update the navigation button text and follow status when you follow/unfollow users	Reaction	p	unknown
en.core.reaction	should have a functioning de/select all toggle	Reaction	p	unknown
en.core.reaction	should render a stepper	Reaction	p	unknown
en.core.reaction	should be able to continue to the next step	Reaction	p	unknown
en.core.reaction	should render a back button	Reaction	p	unknown
en.core.report_abuse	should have no a11y violations when rendering users	Report abuse	p	unknown
en.core.report_abuse	should render the correct users	Report abuse	p	unknown
en.core.report_abuse	should follow all suggested users by default	Report abuse	p	unknown
en.core.report_abuse	should properly pluralize with small follower count	Report abuse	p	unknown
en.core.report_abuse	should update the navigation button text and follow status when you follow/unfollow users	Report abuse	p	unknown
en.core.report_abuse	should have a functioning de/select all toggle	Report abuse	p	unknown
en.core.report_abuse	should render a stepper	Report abuse	p	unknown
en.core.report_abuse	should be able to continue to the next step	Report abuse	p	unknown
en.core.report_abuse	should render a back button	Report abuse	p	unknown
en.core.search	should have no a11y violations when rendering users	Search	p	unknown
en.core.search	should render the correct users	Search	p	unknown
en.core.search	should follow all suggested users by default	Search	p	unknown
en.core.search	should properly pluralize with small follower count	Search	p	unknown
en.core.search	should update the navigation button text and follow status when you follow/unfollow users	Search	p	unknown
en.core.search	should have a functioning de/select all toggle	Search	p	unknown
en.core.search	should render a stepper	Search	p	unknown
en.core.search	should be able to continue to the next step	Search	p	unknown
en.core.search	should render a back button	Search	p	unknown
en.core.success_settings	should have no a11y violations when rendering users	Successfully updated settings.	p	unknown
en.core.success_settings	should render the correct users	Successfully updated settings.	p	unknown
en.core.success_settings	should follow all suggested users by default	Successfully updated settings.	p	unknown
en.core.success_settings	should properly pluralize with small follower count	Successfully updated settings.	p	unknown
en.core.success_settings	should update the navigation button text and follow status when you follow/unfollow users	Successfully updated settings.	p	unknown
en.core.success_settings	should have a functioning de/select all toggle	Successfully updated settings.	p	unknown
en.core.success_settings	should render a stepper	Successfully updated settings.	p	unknown
en.core.success_settings	should be able to continue to the next step	Successfully updated settings.	p	unknown
en.core.success_settings	should render a back button	Successfully updated settings.	p	unknown
en.core.you_are_following	should have no a11y violations when rendering users	You're following	p	unknown
en.core.you_are_following	should render the correct users	You're following	p	unknown
en.core.you_are_following	should follow all suggested users by default	You're following	p	unknown
en.core.you_are_following	should properly pluralize with small follower count	You're following	p	unknown
en.core.you_are_following	should update the navigation button text and follow status when you follow/unfollow users	You're following	p	unknown
en.core.you_are_following	should have a functioning de/select all toggle	You're following	p	unknown
en.core.you_are_following	should render a stepper	You're following	p	unknown
en.core.you_are_following	should be able to continue to the next step	You're following	p	unknown
en.core.you_are_following	should render a back button	You're following	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.one	should have no a11y violations when rendering users	about 1 hour ago	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.one	should render the correct users	about 1 hour ago	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.one	should follow all suggested users by default	about 1 hour ago	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.one	should properly pluralize with small follower count	about 1 hour ago	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.one	should update the navigation button text and follow status when you follow/unfollow users	about 1 hour ago	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.one	should have a functioning de/select all toggle	about 1 hour ago	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.one	should render a stepper	about 1 hour ago	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.one	should be able to continue to the next step	about 1 hour ago	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.one	should render a back button	about 1 hour ago	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.other	should have no a11y violations when rendering users	about %{count} hours ago	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.other	should render the correct users	about %{count} hours ago	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.other	should follow all suggested users by default	about %{count} hours ago	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.other	should properly pluralize with small follower count	about %{count} hours ago	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.other	should update the navigation button text and follow status when you follow/unfollow users	about %{count} hours ago	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.other	should have a functioning de/select all toggle	about %{count} hours ago	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.other	should render a stepper	about %{count} hours ago	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.other	should be able to continue to the next step	about %{count} hours ago	p	unknown
en.datetime.distance_in_words_ago.about_x_hours.other	should render a back button	about %{count} hours ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.one	should have no a11y violations when rendering users	about 1 month ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.one	should render the correct users	about 1 month ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.one	should follow all suggested users by default	about 1 month ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.one	should properly pluralize with small follower count	about 1 month ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.one	should update the navigation button text and follow status when you follow/unfollow users	about 1 month ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.one	should have a functioning de/select all toggle	about 1 month ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.one	should render a stepper	about 1 month ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.one	should be able to continue to the next step	about 1 month ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.one	should render a back button	about 1 month ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.other	should have no a11y violations when rendering users	about %{count} months ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.other	should render the correct users	about %{count} months ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.other	should follow all suggested users by default	about %{count} months ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.other	should properly pluralize with small follower count	about %{count} months ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.other	should update the navigation button text and follow status when you follow/unfollow users	about %{count} months ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.other	should have a functioning de/select all toggle	about %{count} months ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.other	should render a stepper	about %{count} months ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.other	should be able to continue to the next step	about %{count} months ago	p	unknown
en.datetime.distance_in_words_ago.about_x_months.other	should render a back button	about %{count} months ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.one	should have no a11y violations when rendering users	about 1 year ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.one	should render the correct users	about 1 year ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.one	should follow all suggested users by default	about 1 year ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.one	should properly pluralize with small follower count	about 1 year ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.one	should update the navigation button text and follow status when you follow/unfollow users	about 1 year ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.one	should have a functioning de/select all toggle	about 1 year ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.one	should render a stepper	about 1 year ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.one	should be able to continue to the next step	about 1 year ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.one	should render a back button	about 1 year ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.other	should have no a11y violations when rendering users	about %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.other	should render the correct users	about %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.other	should follow all suggested users by default	about %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.other	should properly pluralize with small follower count	about %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.other	should update the navigation button text and follow status when you follow/unfollow users	about %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.other	should have a functioning de/select all toggle	about %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.other	should render a stepper	about %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.other	should be able to continue to the next step	about %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.about_x_years.other	should render a back button	about %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.one	should have no a11y violations when rendering users	almost 1 year ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.one	should render the correct users	almost 1 year ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.one	should follow all suggested users by default	almost 1 year ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.one	should properly pluralize with small follower count	almost 1 year ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.one	should update the navigation button text and follow status when you follow/unfollow users	almost 1 year ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.one	should have a functioning de/select all toggle	almost 1 year ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.one	should render a stepper	almost 1 year ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.one	should be able to continue to the next step	almost 1 year ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.one	should render a back button	almost 1 year ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.other	should have no a11y violations when rendering users	almost %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.other	should render the correct users	almost %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.other	should follow all suggested users by default	almost %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.other	should properly pluralize with small follower count	almost %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.other	should update the navigation button text and follow status when you follow/unfollow users	almost %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.other	should have a functioning de/select all toggle	almost %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.other	should render a stepper	almost %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.other	should be able to continue to the next step	almost %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.almost_x_years.other	should render a back button	almost %{count} years ago	p	unknown
en.datetime.distance_in_words_ago.half_a_minute	should have no a11y violations when rendering users	half a minute ago	p	unknown
en.datetime.distance_in_words_ago.half_a_minute	should render the correct users	half a minute ago	p	unknown
en.datetime.distance_in_words_ago.half_a_minute	should follow all suggested users by default	half a minute ago	p	unknown
