project	Issue ID	Corresponding CTest	Issue Link	Title
hbase-server	HBASE-13468	org.apache.hadoop.hbase.master.cleaner.TestLogsCleaner#testZooKeeperAbort	https://issues.apache.org/jira/browse/HBASE-13468	hbase.zookeeper.quorum supports ipv6 address
hbase-server	HBASE-22559	org.apache.hadoop.hbase.ipc.TestSimpleRpcScheduler#testRpcScheduler	https://issues.apache.org/jira/browse/HBASE-22559	[RPC] set guard against CALL_QUEUE_HANDLER_FACTOR_CONF_KEY
hbase-server	HBASE-15439	org.apache.hadoop.hbase.IntegrationTestIngestWithMOB#testIngest	https://issues.apache.org/jira/browse/HBASE-15439	getMaximumAllowedTimeBetweenRuns in ScheduledChore ignores the TimeUnit
hbase-server	HBASE-23581	org.apache.hadoop.hbase.master.procedure.TestModifyTableProcedure#testConcurrentDeleteColumnFamily	https://issues.apache.org/jira/browse/HBASE-23581	Creating table gets stuck when specifying an invalid split policy as METADATA
hbase-server	HBASE-22701	org.apache.hadoop.hbase.filter.TestComparatorSerialization#testSubstringComparator	https://issues.apache.org/jira/browse/HBASE-22701	Better handle invalid local directory for DynamicClassLoader
hbase-server	HBASE-5893	org.apache.hadoop.hbase.coprocessor.TestRegionObserverInterface#testHBase3583	https://issues.apache.org/jira/browse/HBASE-5893	Allow spaces in coprocessor conf (aka trim() className)
hbase-server	HBASE-6973	org.apache.hadoop.hbase.security.TestUsersOperationsWithSecureHadoop#testUserLoginInSecureHadoop	https://issues.apache.org/jira/browse/HBASE-6973	Trim trailing whitespace from configuration values
zookeeper-server	ZOOKEEPER-1213	org.apache.zookeeper.server.quorum.QuorumPeerMainTest#testQuorum	https://issues.apache.org/jira/browse/ZOOKEEPER-1213	ZooKeeper server startup fails if configured only with the 'minSessionTimeout' and not 'maxSessionTimeout'
zookeeper-server	ZOOKEEPER-2082	org.apache.zookeeper.server.quorum.QuorumPeerMainTest#testInconsistentPeerType	https://issues.apache.org/jira/browse/ZOOKEEPER-2082	Mistype of electionAlgo can fill out your disk in minutes
zookeeper-server	ZOOKEEPER-2264	org.apache.zookeeper.server.quorum.QuorumPeerMainTest#testQuorum	https://issues.apache.org/jira/browse/ZOOKEEPER-2264	Wrong error message when secureClientPortAddress is configured but secureClientPort is not configured
zookeeper-server	ZOOKEEPER-209	org.apache.zookeeper.server.quorum.QuorumPeerMainTest#testQuorum	https://issues.apache.org/jira/browse/ZOOKEEPER-209	nullpointerexception if election port is not specified.
zookeeper-server	ZOOKEEPER-188	org.apache.zookeeper.server.quorum.QuorumPeerMainTest#testQuorum	https://issues.apache.org/jira/browse/ZOOKEEPER-188	Check that election port is present for all servers
zookeeper-server	ZOOKEEPER-2263	org.apache.zookeeper.server.ZooKeeperServerMainTest#testWithOnlyMinSessionTimeout	https://issues.apache.org/jira/browse/ZOOKEEPER-2263	ZooKeeper server should not start when neither clientPort no secureClientPort is configured
zookeeper-server	ZOOKEEPER-2873	org.apache.zookeeper.server.quorum.QuorumPeerMainTest#testQuorum	https://issues.apache.org/jira/browse/ZOOKEEPER-2873	print error and/or abort on invalid server definition
zookeeper-server	ZOOKEEPER-2299	CANNOT DETECT	https://issues.apache.org/jira/browse/ZOOKEEPER-2299	NullPointerException in LocalPeerBean for ClientAddress
zookeeper-server	ZOOKEEPER-1878	org.apache.zookeeper.server.ZooKeeperServerMainTest#testStandalone	https://issues.apache.org/jira/browse/ZOOKEEPER-1878	Inconsistent behavior in autocreation of dataDir and dataLogDir
zookeeper-server	ZOOKEEPER-2579	org.apache.zookeeper.test.NonRecoverableErrorTest#testZooKeeperServiceAvailableOnLeader	https://issues.apache.org/jira/browse/ZOOKEEPER-2579	ZooKeeper server should verify that dataDir and snapDir are writeable before starting
zookeeper-server	ZOOKEEPER-2006	org.apache.zookeeper.test.StandaloneTest#testNoDynamicConfig	https://issues.apache.org/jira/browse/ZOOKEEPER-2006	Standalone mode won't take client port from dynamic config
zookeeper-server	ZOOKEEPER-192	org.apache.zookeeper.server.quorum.QuorumPeerMainTest#testQuorum	https://issues.apache.org/jira/browse/ZOOKEEPER-192	trailing whitespace in config file can cause number format exceptions
